"ESTU_GENERO","ESTU_CONSECUTIVO","ESTU_TIENEETNIA","ESTU_DEPTO_RESIDE","ESTU_COD_RESIDE_DEPTO","FAMI_ESTRATOVIVIENDA","FAMI_EDUCACIONPADRE","FAMI_EDUCACIONMADRE","FAMI_TRABAJOLABORPADRE","FAMI_TRABAJOLABORMADRE","FAMI_NUMLIBROS","ESTU_DEDICACIONLECTURADIARIA","ESTU_DEDICACIONINTERNET","ESTU_HORASSEMANATRABAJA","COLE_NATURALEZA","COLE_BILINGUE","COLE_JORNADA","PUNT_LECTURA_CRITICA","PUNT_MATEMATICAS","PUNT_C_NATURALES","PUNT_SOCIALES_CIUDADANAS","PUNT_INGLES","PUNT_GLOBAL"
"F","SB11202040508356","No","ANTIOQUIA",5,"Estrato 3","Primaria incompleta","Secundaria (Bachillerato) incompleta","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","11 A 25 LIBROS","30 minutos o menos","Más de 3 horas","Entre 21 y 30 horas","OFICIAL","N","NOCHE",37,35,37,43,35,189
"M","SB11202040029308","No","CUNDINAMARCA",25,"Estrato 2","Primaria incompleta","Técnica o tecnológica completa","Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente)","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","0 A 10 LIBROS","No leo por entretenimiento","30 minutos o menos","0","NO OFICIAL",NA,"MAÑANA",46,49,41,36,54,219
"F","SB11202040500906","Si","CESAR",20,"Estrato 1","Educación profesional completa","Técnica o tecnológica completa","No sabe","Es vendedor o trabaja en atención al público","11 A 25 LIBROS","30 minutos o menos","Más de 3 horas","0","OFICIAL","N","MAÑANA",47,54,52,52,36,250
"M","SB11202040389779","No","MAGDALENA",47,"Estrato 3","Secundaria (Bachillerato) completa","Educación profesional completa","Es operario de máquinas o conduce vehículos (taxita, chofer)","Pensionado","11 A 25 LIBROS","30 minutos o menos","Entre 30 y 60 minutos","0","OFICIAL",NA,"MAÑANA",42,41,34,31,41,187
"F","SB11202040010368","No","VALLE",76,"Estrato 2","Educación profesional completa","Educación profesional completa","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","Es dueño de un negocio grande, tiene un cargo de nivel directivo o gerencial","26 A 100 LIBROS","Entre 30 y 60 minutos","30 minutos o menos","Entre 11 y 20 horas","NO OFICIAL","N","MAÑANA",38,49,35,33,33,192
"F","SB11202040410380","No","BOLIVAR",13,"Estrato 1","Secundaria (Bachillerato) completa","Primaria incompleta","Trabaja en el hogar, no trabaja o estudia","Trabaja como personal de limpieza, mantenimiento, seguridad o construcción","26 A 100 LIBROS","Entre 30 y 60 minutos","Más de 3 horas","Menos de 10 horas","OFICIAL","N","TARDE",45,38,42,43,42,210
"F","SB11202040178218","No","BOLIVAR",13,"Estrato 3","Primaria completa","Secundaria (Bachillerato) completa","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","11 A 25 LIBROS","No leo por entretenimiento","Entre 1 y 3 horas","0","NO OFICIAL","N","MAÑANA",52,39,51,47,50,237
"M","SB11202040269622","No","CAUCA",19,"Estrato 5","Primaria incompleta","Primaria completa","Trabaja en el hogar, no trabaja o estudia","Trabaja en el hogar, no trabaja o estudia","0 A 10 LIBROS","No leo por entretenimiento","Entre 1 y 3 horas","0","OFICIAL","N","COMPLETA",45,44,48,49,47,233
"F","SB11202040492193","No","BOGOTÁ",11,"Estrato 2","No sabe","Educación profesional completa","No sabe","Trabaja como profesional (por ejemplo médico, abogado, ingeniero)","MÁS DE 100 LIBROS","Entre 30 y 60 minutos","Más de 3 horas","0","NO OFICIAL","N","MAÑANA",60,66,57,52,67,297
"F","SB11202040525064","No","ATLANTICO",8,"Estrato 2","Primaria completa","Secundaria (Bachillerato) incompleta","Trabaja por cuenta propia (por ejemplo plomero, electricista)","Trabaja por cuenta propia (por ejemplo plomero, electricista)","0 A 10 LIBROS","30 minutos o menos","No Navega Internet","0","OFICIAL","N","TARDE",54,38,41,49,37,224
"M","SB11202040124929","No","CHOCO",27,"Estrato 1","Primaria incompleta","Primaria incompleta","No sabe","Es agricultor, pesquero o jornalero","0 A 10 LIBROS","30 minutos o menos","Entre 1 y 3 horas","Menos de 10 horas","OFICIAL","N","TARDE",64,62,52,53,38,281
"F","SB11202040389749","No","BOYACA",15,"Estrato 3","Primaria completa","Primaria completa","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente)","0 A 10 LIBROS","Entre 30 y 60 minutos","Entre 1 y 3 horas","Entre 21 y 30 horas","OFICIAL","N","UNICA",37,34,29,32,35,166
"M","SB11202040051426","No","BOGOTÁ",11,"Estrato 2","No sabe","Secundaria (Bachillerato) incompleta","No sabe","Es vendedor o trabaja en atención al público","MÁS DE 100 LIBROS","Entre 1 y 2 horas","Entre 1 y 3 horas","0","OFICIAL","N","MAÑANA",65,60,57,57,54,297
"F","SB11202040099034","No","ANTIOQUIA",5,"Estrato 2","No Aplica","Técnica o tecnológica completa","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente)","0 A 10 LIBROS","Entre 30 y 60 minutos","Entre 1 y 3 horas","0","OFICIAL","N","MAÑANA",37,38,41,43,53,204
"M","SB11202040250987","No","SANTANDER",68,"Estrato 1","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","Trabaja como personal de limpieza, mantenimiento, seguridad o construcción","Trabaja como personal de limpieza, mantenimiento, seguridad o construcción","26 A 100 LIBROS","30 minutos o menos","No Navega Internet","Más de 30 horas","OFICIAL",NA,"UNICA",56,49,42,51,39,243
"M","SB11202040337131","No","LA GUAJIRA",44,"Sin Estrato","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","Trabaja como personal de limpieza, mantenimiento, seguridad o construcción","Trabaja en el hogar, no trabaja o estudia","0 A 10 LIBROS","No leo por entretenimiento","Entre 30 y 60 minutos","Menos de 10 horas","OFICIAL","N","UNICA",45,54,51,33,41,227
"F","SB11202040091189","No","ATLANTICO",8,"Estrato 3","Educación profesional incompleta","Educación profesional completa","Trabaja por cuenta propia (por ejemplo plomero, electricista)","Es vendedor o trabaja en atención al público","26 A 100 LIBROS","Más de 2 horas","Más de 3 horas","0","OFICIAL","N","MAÑANA",65,57,59,57,45,292
"F","SB11202040179172","No","BOLIVAR",13,"Estrato 4","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","Trabaja en el hogar, no trabaja o estudia","26 A 100 LIBROS","Más de 2 horas","Más de 3 horas","0","NO OFICIAL","N","COMPLETA",69,75,66,76,79,360
"M","SB11202040215719","No","VALLE",76,"Estrato 3","Secundaria (Bachillerato) completa","Postgrado","Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente)","Trabaja como profesional (por ejemplo médico, abogado, ingeniero)","26 A 100 LIBROS","Entre 30 y 60 minutos","Más de 3 horas","Menos de 10 horas","OFICIAL","N","MAÑANA",64,65,60,55,61,305
"M","SB11202040127554","No","CUNDINAMARCA",25,"Estrato 2","Secundaria (Bachillerato) incompleta","Secundaria (Bachillerato) completa","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente)","11 A 25 LIBROS","30 minutos o menos","30 minutos o menos","0","OFICIAL","N","TARDE",54,51,47,47,51,249
"F","SB11202040511455","No","CUNDINAMARCA",25,"Estrato 2","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) incompleta","No sabe","Trabaja en el hogar, no trabaja o estudia","11 A 25 LIBROS","Entre 30 y 60 minutos","30 minutos o menos","Entre 11 y 20 horas","NO OFICIAL","N","TARDE",49,65,59,57,49,284
"M","SB11202040533233","No","CESAR",20,"Estrato 2","Primaria incompleta","Secundaria (Bachillerato) incompleta","Es agricultor, pesquero o jornalero","Trabaja en el hogar, no trabaja o estudia","11 A 25 LIBROS","30 minutos o menos","Más de 3 horas","0","NO OFICIAL",NA,"SABATINA",34,34,30,35,36,167
"M","SB11202040314547","No","BOYACA",15,"Estrato 2","Técnica o tecnológica incompleta","Técnica o tecnológica completa","Es operario de máquinas o conduce vehículos (taxita, chofer)","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","11 A 25 LIBROS","No leo por entretenimiento","Entre 1 y 3 horas","Menos de 10 horas","NO OFICIAL","N","COMPLETA",51,59,56,52,54,272
"F","SB11202040278850","Si","CHOCO",27,NA,"Primaria completa","Ninguno","Trabaja en el hogar, no trabaja o estudia","Es dueño de un negocio grande, tiene un cargo de nivel directivo o gerencial","0 A 10 LIBROS","30 minutos o menos","No Navega Internet","Menos de 10 horas","OFICIAL",NA,"MAÑANA",38,32,30,26,29,157
"M","SB11202040258532","Si","ANTIOQUIA",5,"Estrato 3","Técnica o tecnológica completa","Técnica o tecnológica incompleta","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","0 A 10 LIBROS","30 minutos o menos","30 minutos o menos","0","OFICIAL","N","MAÑANA",48,49,42,49,36,231
"M","SB11202040428355","Si","CORDOBA",23,NA,"Secundaria (Bachillerato) incompleta","Secundaria (Bachillerato) incompleta","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","0 A 10 LIBROS","Entre 1 y 2 horas","No Navega Internet","0","OFICIAL","N","MAÑANA",36,30,39,30,40,171
"F","SB11202040439747","No","ANTIOQUIA",5,"Estrato 2","Primaria incompleta","Primaria completa","No sabe","Es vendedor o trabaja en atención al público","11 A 25 LIBROS","Entre 30 y 60 minutos","Entre 1 y 3 horas","Entre 21 y 30 horas","NO OFICIAL",NA,"SABATINA",59,46,43,48,41,242
"M","SB11202040475721","No","SANTANDER",68,"Estrato 3","Secundaria (Bachillerato) completa","Técnica o tecnológica completa","Es operario de máquinas o conduce vehículos (taxita, chofer)","Es vendedor o trabaja en atención al público","0 A 10 LIBROS","30 minutos o menos","Más de 3 horas","Menos de 10 horas","OFICIAL","N","UNICA",51,54,52,54,45,261
